perm 132
34998
35902
34878
39606
39094
39998
39486
38974
38650
38642
38138
38130
38142
54522
38134
54514
34046
50426
34038
50418
34554
34546
34042
34034
64570
60474
62522
58426
62526
62586
58430
58490
46906
46898
48698
48690
42810
42802
44602
44594
46714
46706
42618
42610
46650
46642
42554
42546
64562
60466
38334
38326
38842
38834
38330
38322
46398
46390
38206
38198
48442
46394
48434
46386
38202
38194
38714
38706
40506
40498
52410
52402
56378
55354
56370
55346
52282
51258
52274
51250
34238
34230
42302
42294
34110
37182
37302
37174
41278
33086
34102
41398
41270
33206
33078
36026
36018
36282
34746
36274
34738
34234
34226
44346
42298
44338
42290
48186
44090
37178
37170
34106
41274
33082
34098
41266
33074
48178
44082
37690
37682
34618
41786
33594
34610
41778
33586
35898
34874
35890
34866
39994
39482
38970
39986
39474
38962
46202
42106
46194
42098
46206
42110
62514
62518
46198
58418
58422
42102
38586
38578
38458
38450
38522
37498
38514
37490
38074
38066
38078
38070
54462
54454
54458
54450
34490
34482
34426
33402
38010
33914
34418
33394
36986
38002
36978
32890
33906
32882
33978
33970
46138
42042
37434
37426
34362
33338
34354
33330
46130
42034
37946
36922
37938
36914
33850
32826
33842
32818
33982
33974
46142
42046
37950
33854
46134
42038
36926
37942
37046
36918
32830
33846
32950
32822
50366
50358
50362
50354
38014
54394
33918
50298
36990
38006
37110
36982
54322
53298
54330
53370
53306
32894
33910
33014
32886
50226
49202
50234
49274
49210
56736
56744
56746
56738
56764
56756
56740
56748
56750
56742
50664
38888
38376
34280
38856
34760
50656
38880
38368
34272
38848
34752
34276
38372
50660
34286
34278
38874
34778
38858
34762
34284
34282
38866
34770
34274
38850
34754
50668
50670
50666
50662
50658
38382
54762
38374
54754
38890
38882
38370
38380
38378
62780
58684
62828
58732
62830
62826
58734
58730
64824
60728
62840
58744
62776
58680
64810
60714
62766
58670
62762
58666
64808
60712
62760
58664
62824
58728
62764
58668
46930
46914
46954
46938
46922
42834
42818
42858
42842
42826
46968
42872
46912
46952
46936
46920
42832
42816
42856
42840
42824
41454
41446
41946
41930
42364
41938
41340
41452
41450
41922
41442
33262
33254
37850
33754
37834
33738
34172
37842
33746
33148
33258
33250
37826
33730
50620
50492
49468
49646
49638
49642
49634
37358
37350
53738
53730
57838
57830
57834
57826
54716
46042
37866
46460
38268
46034
37354
37858
37346
45436
57660
37244
57836
42350
42342
41326
41318
41834
41818
41802
42346
42348
41810
42338
42356
42340
41322
41794
41314
41460
41332
41444
41324
41316
34158
33134
34150
33126
34666
33642
38746
34650
37722
33626
38730
34634
37706
33610
34154
34156
38738
34642
37714
33618
38722
34626
33252
33132
34148
33124
33130
37698
33602
34146
33122
50612
50540
49588
49516
50484
49460
50542
50538
49518
50534
49510
49514
50530
49506
46446
38254
54634
58726
58722
62818
62822
46438
57710
57702
57706
57698
37230
38246
37222
53610
54626
53602
54708
38762
37738
45914
45898
46442
46444
38250
38252
45906
38754
46434
58724
58676
62772
46436
37226
38242
37730
37218
57780
57652
45540
45420
45412
57828
57708
57700
37348
37228
38244
37220
41848
41928
42360
41336
41448
34168
33144
34680
37832
33736
52648
52536
50604
50600
50552
51512
49580
49528
50488
49464
52650
50606
52642
50598
50602
50594
51626
51618
49582
49574
49578
49570
54702
54694
54698
54690
55722
55714
59818
59810
53678
53670
53674
53666
57774
57766
57770
57762
54700
54696
56632
38776
37752
46456
38264
55608
59704
59816
61868
53676
37240
54584
53560
57772
57720
57832
57656
57768
41832
41816
41800
42344
42352
42336
41320
41808
41920
41792
41328
41440
41312
34152
38720
34624
33128
37824
37696
33600
34144
33120
34664
33640
38744
34648
38728
34632
37720
33624
37704
33608
52522
50478
51498
52514
51490
49454
50470
49446
50474
49450
50466
49442
52520
52640
50596
50592
50536
50476
51496
52512
51488
49572
49512
49452
50468
49444
50472
49448
50464
49440
56618
54574
64802
60706
59690
59682
55594
56610
55586
62758
62754
58662
58658
57646
57638
57642
57634
53550
54566
53542
54570
53546
54562
53538
54692
54688
38760
37736
56616
45912
45896
46440
38248
54572
64800
60720
60704
55592
55584
38752 56608
59688
59696
59808
59680
62756
62752
46432
58660
58672
58720
58656
57764
57704
37224
61860
53668
57644
57636
57640
57648
57824
57696
57760
57632
61740
53548
54564
61732
53540
54568
53544
37728
38240
37216
38884
38852
34756
38892
38894
38886
38870
34774
38854
34758
38879
38871
38875
38867
34783
34775
34779
34771
38623
38615
38619
38611
34527
34519
34523
34515
38878
34782
34761
34753
34757
34764
34759
34763
34755
38857
38849
38853
38859
38851
38860
38862
38855
34521
34505
34513
34497
34517
34501
34507
34499
34525
34509
34503
38617
38601
38609
38593
38613
38597
38603
38595
38621
38605
38607
38599
64828
60732
64814
60718
64812
60716
46972
42876
42860
42828
42820
42846
42838
42844
42836
46956
46943
46935
46939
46931
42847
42839
42843
42835
46687
46679
46683
46675
42591
42583
42587
42579
46942
46934
46937
46921
46913
46940
46924
46916
46923
46915
42841
42825
42833
42817
42845
42827
42819
42837
42829
42821
46685
46681
46665
46673
46657
46667
46659
46677
46669
46661
42589
42585
42569
42577
42561
42571
42563
42581
42573
42565
52652
51628
52654
52646
51630
51622
63916
55724
59820
55726
55718
59822
59814
52526
52518
51502
51494
52644
52524
52516
51492
51620
51500
60710
59694
59686
55598
55590
56622
64806
56614
64804
63780
63908
63788
56620
60708
56612
55588
59684
55716
59812
55596
59692
41932
41926
41942
41950
41852
37846
33750
37830
33734
34684
37855
37847
37851
37843
33759
33751
33755
33747
37599
37591
37595
37587
33503
33495
33499
33491
37854
33758
33737
33729
33733
33740
33735
33739
33731
37833
37825
37829
37835
37827
37836
37838
37831
33497
33481
33489
33473
33493
33477
33483
33475
33501
33485
33479
37593
37577
37585
37569
37589
37573
37579
37571
37597
37581
37583
37575
51516
52668
52540
63804
59708
56636
55612
38780
37756
46038
37862
46047
46039
46043
46035
41951
41943
41947
41939
45791
45783
45787
45779
41695
41687
41691
41683
46046
46025
46017
46021
46028
46023
46027
46019
41945
41929
41937
41921
41941
41925
41931
41923
41949
41933
41927
45785
45769
45777
45761
45781
45765
45771
45763
45789
45773
45767
41689
41673
41681
41665
41685
41669
41675
41667
41693
41677
41671
52660
52532
51636
51508
56628
55732
55604
64820
60724
63924
59828
63796
59700
38764
37740
37860
38756
37732
38766
37742
46020
38758
45919
45911
45915
45907
41823
41815
41819
41811
45663
45655
45659
45651
41567
41559
41563
41555
45918
45910
45913
45897
45889
45916
45900
45892
45899
45891
41817
41801
41809
41793
41821
41803
41795
41813
41805
41797
45657
45641
45649
45633
45661
45643
45635
45653
45645
45637
41561
41545
41553
41537
41565
41547
41539
41557
41549
41541
41836
41924
41804
41796
41940
41822
41814
41820
41812
34668
33644
37828
33732
38751
38743
38747
38739
34655
34647
34651
34643
38495
38487
38491
38483
34399
34391
34395
34387
38750
38742
34654
34646
34649
34633
34625
34652
34636
34628
34635
34627
38745
38729
38721
38748
38731
38723
38734
38726
38732
38724
34393
34377
34385
34369
34397
34379
34371
34389
34381
34373
38489
38473
38481
38465
38493
38475
38467
38485
38479
38471
38477
38469
37727
37719
37723
37715
33631
33623
33627
33619
37471
37463
37467
37459
33375
33367
33371
33363
37726
37718
33630
33622
33625
33609
33601
33628
33612
33604
33611
33603
37721
37705
37697
37724
37707
37699
37710
37702
37708
37700
33369
33353
33361
33345
33373
33355
33347
33365
33357
33349
37465
37449
37457
37441
37469
37451
37443
37461
37455
37447
37453
37445
56490
56482
40106
40098
56488
56480
40104
40096
40362
40354
40618
40610
40360
40352
40632
40616
40624
40608
56508
56500
40124
40116
40380
40372
40892
40884
40636
40628
56494
56486
40110
40102
56492
56484
40108
40100
40366
40358
40876
40868
40622
40614
40364
40356
40620
40612
38652
38644
38638
38630
38636
38628
34508
34502
34500
38606
38604
38598
38596
38622
38614
34526
34518
38620
38612
34524
34516
64572
60476
64556
60460
48700
48692
46900
46908
48948
44604
44596
42804
42812
44852
46716
42620
46700
46668
46660
46628
46636
48676
46686
46678
46684
46676
46652
46644
46884
46892
48932
44580
42604
42540
42532
42572
42564
42788
42796
44836
42590
42582
42556
42548
42588
42580
38844
38836
48444
48436
40252
40244
38708
38716
40508
40756
40500
46004
41908
45876
41780
47924
43828
47668
43572
45884
48052
41788
43956
47676
47796
43580
43700
34740
37812
33716
37684
34612
33588
39732
36660
35636
39476
36404
35380
34748
36796
36788
36540
36532
37692
39860
35764
34620
33596
39484
39604
35508
36412
35388
64564
44348
44340
60468
63540
59444
48180
44084
47412
43316
47156
43060
63548
63668
59452
59572
48188
44092
47420
47540
43324
43444
47164
47284
43068
43188
56380
56372
55348
52276
51252
39220
36148
35124
39988
38964
35892
34868
52412
52404
55356
55476
51380
52284
51260
36284
36276
36028
36020
39228
39348
36156
35132
35252
39996
38972
39092
34996
35900
34876
38574
38566
38572
38564
38830
38822
38588
38828
38580
38820
38508
37484
37604
38500
37476
38436
40236
38444
40228
40484
48428
48420
38438
38446
40486
38510
37486
37606
45764
38502
45644
45636
38524
37500
37620
38516
37492
38452
38692
40740
38460
38700
45790
45782
45662
45654
45692
45780
45660
45652
48430
48422
38694
38702
40230
41694
41686
41566
41558
39206
41596
45628
41532
37806
39334
37678
48036
37798
45988
41684
45748
41652
37670
41564
41556
45620
41524
37598
37590
38494
38486
37470
37462
33502
33494
34398
34390
33374
33366
37596
37588
38492
38484
37468
37460
44334
44326
34484
34726
34724
33492
37556
33460
37796
41894
33702
41892
33700
34396
34388
37668
41764
34596
33572
33372
33364
37428
34356
33332
39716
43302
36134
35110
34428
34492
34732
36772
36270
36262
34364
33404
37436
33340
37804
37676
39844
41900
43430
33708
35238
41772
43940
34604
33580
35748
56366
64548
56358
37414
37542
45732
55334
48164
47396
39462
39974
38950
55342
55462
63652
48172
47524
47532
47404
37422
39590
47780
39982
38958
39078
47268
56356
56364
37582
37580
37574
37572
38478
38470
38476
38468
37454
37446
37452
37444
44332
44324
34380
34372
33348
41548
33356
37412
34340
33316
34470
34468
33478
41668
33476
37540
33446
41636
33444
60452
55332
52260
51236
44068
39204
43300
36132
35108
35876
34852
39972
39460
38948
52396
52390
52388
55340
55460
51244
34412 52268
51366
59556
51364
34476
36268
36260
36012
36006
36516
36004
44076
33388
39332
39340
39212
43428
43436
43308
36140
35236
35244
35116
39980
37420
39588
38956
39076
34348
33324
34982
43684
35492
43172
34980
38634
38626
38648
38632
38640
38624
38126
38124
38120
54506
38122
38118
38116
38112
54498
38114
38618
38610
34522
34514
38602
38616
38600
38594
38608
38592
38084
33988
38340
50628
34244
38102
34006
38358
50646
34262
38086
33990
38342
50630
34246
34512
34496
38080
33984
38336
50624
34240
34498
54738
38354
50642
34258
54482
38098
50386
34002
54722
38338
50626
34242
54466
38082
50370
33986
34520
34504
38088
33992
38344
50632
34248
34506
54746
38362
50650
34266
54490
38106
50394
34010
54730
38346
50634
34250
54474
38090
50378
33994
38111
38103
54491
54483
38107
38099
34015
34007
50395
50387
34011
34003
38367
38359
54747
54739
38363
38355
50655
50647
50651
50643
34271
34263
34267
34259
38110
34014
38366
50654
34270
33989
33985
33993
33996
33991
50379
33995
50371
33987
38085
38081
38089
38092
38094
38087
54475
38091
54467
38083
38345
38337
38341
38348
38350
38343
54731
54723
38347
38339
50633
34249
50625
34241
50629
34245
50635
50627
50636
50638
50631
34251
34243
34252
34254
34247
64568
60472
62520
58424
62524
62584
58428
58488
64552
60456
62504
58408
62508
62570
62568
58412
58474
58472
46712
42616
42586
42578
42808
42792
42760
42752
42764
44804
42756
42778
42770
42782
44822
42774
42776
42768
42780
44820
42772
42602
42600
42536
44600
42552
42584
42570
42568
42576
42562
42560
42504
42496
42508
44548
42500
44574
42526
44566
42518
44570
42522
44562
42514
44572
42524
44564
42516
44568
42520
44560
42512
46682
46674
46698
46696
46680
46666
46664
46632
48696
46648
46672
46658
46656
46600
46592
46604
48644
46596
48670
46622
48662
46614
48666
46618
48658
46610
48668
46620
48660
46612
48664
46616
48656
46608
46904
46888
46875
46867
46871
46879
48919
42779
42771
42775
42783
44823
48671
48663
48667
48659
46623
46615
46619
46611
44575
44567
44571
44563
42527
42519
42523
42515
46874
46866
46878
48918
46870
46876
48916
46868
46872
46856
46848
46852
46860
48900
42781
44821
42773
42777
42757
42765
44805
42769
42761
42753
48669
48661
46621
48665
46617
46613
46597
46605
48645
46601
46593
48657
46609
44573
44565
42525
44569
42521
42517
42501
42509
44549
44561
42513
42505
42497
38332
38324
46396
46388
38204
38196
42300
42292
34236
34108
34228
45372
41276
45492
41396
45364
41268
37180
33084
37300
33204
34100
37172
33076
46204
46200
42108
42104
38318
38310
38826
38818
38570
38562
38316
38308
38314
38306
38312
38304
38824
38816
38584
38568
38576
38560
46382
46374
38190
38182
45786
45658
45778
45650
45656
45642
45640
38520
38506
38504
37496
37482
37480
46380
46372
48418
46370
48416
46368
48440
48426
48424
46392
46378
46376
38188
38180
38690
38178
38688
38176
38712
38200
38698
38186
38696
38184
40504
38442
38456
38440
37488
37474
37472
38498
38434
38512
38496
38432
40496
38448
54460
54446
54444
54452
54438
54436
54442
54440
54434
54432
38076
38062
38060
38068
38054
38052
38058
38056
38050
38048
42286
42278
34222
34094
34214
37294
37286
41390
41382
33198
33190
37166
37158
41262
41254
34086
33070
33062
37594
38490
37466
41690
33498
41682
37586
33490
41562
41554
34394
33370
38482
37458
34386
33362
37592
37578
37576
56376
56362
56360
38474
38488
37464
38472
37450
37448
42284
44344
44330
44328
42296
42282
42280
42276
44322
42274
44336
44320
42288
42272
46140
42044
46124
42028
46188
46186
46184
42092
42090
42088
34220
50364
33980
50348
33964
34092
38012
38008
34424
37948
33912
33916
33852
37998
54378
37996
37994
37992
34410
34408
33386
33400
33384
37934
37932
33900
33836
33896
50282
33898
48184
44088
48168
44072
46136
42040
46120
42024
34212
50356
33972
50342
50340
33958
33956
34084
45484
45356
45476
45348
37292
41388
33196
37164
41260
33068
37284
41380
33188
37156
41252
33060
54328
54314
54312
34378
41546
33354
34392
34376
41560
41544
33368
33352
39978
38480
37584
37456
38466
38464
37570
37568
37442
37440
39992
39976
37944
37930
37928
39191 48407
39319
37151 38303 38815 46367 46431
38807
37783
38295
37271
38679
37655
37143 46359 46423
40347
40339
37147
37139
38811
38299
38803
38291
46363
38171
46355
38163
56731
56723
54683
54675
53523
53531
62747
54555
62811
54619
61787
53595
46427
38235
46419
38227
45403
37211
45395
37203
57751
57623
59671
57631
59799
57619
58715
57691
58651
57627
49431
50583
49559
51479
51607
49439 50591
52635
52627
50587
50579
49427
50523
49499
50459
49435
42335
42327
42331
42323
41307
41299
41311
41431
41303
42267
42259
42263
42271
44311
41243
41235
43287
41247
43415
41879
41367
41751
41239
34143
34135
34139
34131
33115
33107
33119
33239
33111
36251
36243
33051
33043
34075
34067
34715
34203
34707
34195
35095
35223
33055 34207 34719
34711
33687
34199
33175
34583
33559
34071
33047
60447
60439
60443
60435
44063
44055
44059
44051
34839
34847
34967
52379
52371
52251
52243
51227
51219
35995
35987
35867
35859
34843
34835
58399
58391
58459
58395
58387
42079
42071
42075
42067
42015
42007
42011
42003
34463
34455
34459
34451
34335
34327
34331
34323
33439
33431
33435
33427
33311
33303
33307
33299
32799
32919
32791
32795
32787
57435
49243
49179
49171
41051
32859
41043
32851
33951
33943
50331
50323
33947
33939
33823
33815
33819
33811
33883
33875
50267
50203
50195
64543
64535
64539
64531
48159
48151
48155
48147
40607
40599
40603
40595
39583
39575
39579
39571
40479
40471
40475
40467
39455
39447
39451
39443
40095
40087
56475
56467
40091
40083
39967
39959
38935
38943
39063
56347
55323
56339
55315
39963
39955
38939
38931
62495
62487
62483
62555
62491
46175
46167
46171
46163
46111
46103
46107
46099
38559
38551
38555
38547
38431
38423
38427
38419
37535
37527
37531
37523
37407
37399
37403
37395
38047
38039
54427
54419
38043
38035
37919
37911
37915
37907
37979
37971
54291
54363
54299
36895
37015
36887
36891
36883
53267
53275
61531
53339
45147
36955
45139
36947
37150 38302 38814 46366 46430
39318
39190 48406
38806
37782
38294
37270
38678
37654
37142 46358 46422
40338
38802
38290
37138
46354
38162
56722
54674
53522
46418
38226
45394
37202
40346
38810
38298
37146
46362
38170
56730
46426
38234
45402
37210
54682
53530
62746
54554
62810
54618
61786
53594
57618
49426
52626
50578
42322
41298
42258
41234
34130
33106
34066
33042
36242
34706
34194
58714
57690
58650
57626
52634
50586
50522
49498
50458
49434
42330
41306
42266
41242
34138
33114
34074
33050
34202
34714 36250
57630
49438 50590
42334
41310
42270
41246
34142
33118
33054 34206 34718
59798
59670
57750
57622
51606
51478
49430
50582
49558
42326
41430
41302
44310
42262
43414
43286
41878
41366
41750
41238
33238
34134
33110
35222
35094
34710
33686
34198
33174
34582
33558
34070
33046
34846
60446
44062
58398
42078
42014
32798
33950
33822
34462
34334
33438
33310
60438
44054
34966
34838
58390
42070
42006
34454
34326
33430
33302
33942
33814
32918
32790
60434
44050
52370
52242
51218
35986
35858
34834
58386
42066
42002
33426
33298
49170
32786
41042
32850
34450
34322
50322
33938
50194
33874
33810
60442
44058
52378
52250
51226
35994
35866
34842
58458
58394
42074
42010
34458
34330
50330
33946
50266
50202
33882
33818
33434
33306
49178
57434
49242
32794
41050
32858
64542
48158
40094
39966
38942
40606
39582
40478
39454
62494
46174
46110
38046
37918
36894
38558
38430
37534
37406
64534
48150
40598
40470
39574
39446
40086
39958
39062
38934
46102
46166 62486
38550
38422
37526
37398
38038
37910
37014
36886
64530
48146
40594
40466
39570
39442
56466
40082
56338
55314
39954
38930
62482
46162
46098
38546
38418
37522
37394
54418
38034
54290
37970
37906
53266
36882
45138
36946
64538
48154
40602
39578
40474
39450
56474
40090
56346
55322
39962
38938
62554
62490
46170
46106
38554
38426
37530
37402
54426
38042
54362
54298
37978
37914
53274
61530
53338
36890
45146
36954
60445
44061
60444
44060
34836
34964
34844
34965
60437
44053
43037
43157
43036
43156
60436
44052
43029
43028
43541
43540
43549
43677
43669
43676
43548
43668
35349
35348
35357
35485
35477
35484
35356
35476
60441
44057
60440
58393
58392
44056
42009
42008
58397
58457
58396
58456
42013
42012
42077
42073
42076
42072
34461
34460
34333
34332
34453
34452
41629
41621
33437
33429
41501
41493
33309
34325
33301
41628
33436
41500
41620
41492
33308
33428
34324
33300
33948
33880
33820
33881
33941
33940
58389
42069
42005
40989
41109
40981
41020 41052
58388
42068
42036
42004
41140 41172
41012 41044
34820 44036 44037
32780 32812 32828 33932 34444 34445 41996 41997 42060 42061
34951
43653
35461
43141
34949
34950
43652
35460
43140
34948
34309
33285
34308
33284
32804 32820 32836 33828 33844 41988 41989 42020 42052 42053
34439
34437
34438
34436
33415
41605
33413
33414
41604
33412
33927
33925
33926
33924
32903
41093
32965
32934 32966
41124 41156
32932 32948 32964
41049
32840
49258
32874
41033
32841
57419
41035
49227
32843
33865
50251
33867
33864
50250
33866
58443
42059
58441
42057
58442
42058
58440
42056
58377
41993
58376
41992
32776 33304 33305 33336 33433 33816 33832 33848 33928 34328 34329 34344 34360 34440 34441 34456 34457 35896 50216 50232 52264 52280
32768 32834 32835 33296 33297 33344 33346 33360 33425 33858 33859 33920 33921 33922 33923 34320 34321 34368 34370 34384 34432 34433 34434 34435 34448 34449 35970 35971 41027 41984 41985 42000 42001 42048 42049 42050 42051 42064 42065 44048 44049 50306 50307 52354 52355 58384 58385 60432 60433
64540
48156
40084
40092
40085
64532
48148
47124
47252
47132
47253
39956
38932
39060
39964
38940
39061
40605
40597
40604
40596
47637
47765
47773
47645
47636
47764
47772
47644
40469
39445
39573
39581
40477
39453
40468
39444
39572
39580
40476
39452
64536
48152
62488
46104
62552
62492
62553
46108
46168
46172
46169
40068
40064
40070
56450
40066
40069
40065
40076
40078
40071
40072
56458
40074
56451
40067
38044
38037
38036
38020
38016
38022
54402
38018
38021
38017
38028
38030
38023
38024
54410
38026
54403
38019
37976
37916
37977
36876
38916
39045
39044
36932
37061
37060
37988
36972
37092
36964
37940
37924
36924
36908
37044
37028
36916
36900
38918 48132
39047
47237
39046
47236
36878 36910 45116 46092 46156
36999
45253
37030 37094
45220 45236 45252
36870 36902 37926 37990 45108 46084 46100 46116 46132 46148
36864 36930 36931 36962 37890 37920 37922 37954 37955 37984 37986 39968 39970 45123 46080 46144 46145 46146 46147 54306 56352 56354
62472
46088
54282
37898
39960
37912
37896
36872
54347
54346
37963
37962
62539
62537
46155
46153
62538
62536
46154
46152
37961
37960
36937
36936
45129
61515
45131
53323
36939
36968
53354
36970
53322
36938
38557
38549
38556
38548
40581
40593
40577
40589
40591
40583
40587
40579
40601
40585
38533
38545
38529
38541
38543
38535
38539
38531
38553
38537
40600
40590
40588
40586
40584
40592
40576
40580
40582
40578
38552
38542
38540
38538
38536
38544
38528
38532
38534
38530
38429
45725
37533
45597
37405
45717
37525
38421
45589
37397
38428
45724
37532
45596
37404
38420
45716
45588
37524
37396
40472
38424
39448
37400
39480
37432
37416
37518
37516
40464
38416
38410
38408
38402
38400
38414
38412
40454
40452
38406
38404
39472
37424
39556
37508
39558
47748
37510
45700
37384
37376
37390
37388
39430
39428
37382
37380
40473
38425
39449
37401
37517
37511
37519
39559
37507
37513
39577
37529
37505
39569
37521
47749
45701
39557
37509
37385
37377
39441
37393
37383
37391
39431
37389
39429
37381
38407
38415
40455
38413
40453
38405
38411
38403
38409
38401
40465
38417
45980
45852
37660
37788 38812
53706
37322
53698
37314
37318
37326
37319
37148 38300
53707
53699
37323
37315
61898
45514
61890
45506
45510
61899
61891
45515
45507
45518
45511
45340 46364 46428
47892
48021
48020
45844
45973
45972
39700
39829
39828
38676
37652
38805
37781
38804
37780
53570
38210
37186
54602
53578
38218
37194
39188
39317
39316
38293
38292
37317
37316
37198
37190
37196
37188
53571
54603
53579
38219
38211
37195
37187
61762
46402
45378
62794
46410
61770
45386
47509
47508
47380 48404
45509
45508
61763
62795
61771
46411
46403
45387
45379
45390 46414
45382 46406
45388 46412
45380 46356 46404
62809
46425
62808
46424
45401
45400
38233
38232
37209
37208
62744
46360
39302
38790
37766
38278
37254
53634
56706
54658
37250 37282
40322
38786
38274
45452
37260 38284
37772 38796
39303
37262 38286 38798
38791
37767
38279
37255
56714
56707
54666
54659
53642
53635
40330
40323
38794
38282
38787
38275
37251
37144 37176 37290 38280 38792
62793
46409
62792
46408
45385
45384
38217
37193
38216
37192
48005
48004
45957
45956
39813
39812
38789
37765
38788
37764
47493
47492
45445
45444
39301
39300
38277
37253
38276
37252
37672
37162
37160
37132
39172
37124
45324 46348
47364 48388
45316 46340
37644
39684
38660
37636
37134 46350
39174 48390
38662
37638
37126 46342
53506
53514
62730
54538
46346
38154
46338
38146
37128
62728
46344
37120 37152 37154 38272 38273 38784 38785 46336 46400 46401
49610
49602
49606
49611
49603
49614
49607
49436 50588
57802
57794
57798
57806
57804
57628
57803
57795
57807
57799
57629
57805
33564
33692 34716
33052 34204
33226
33218
33222
34140
33227
33219
33116
33230
33223
41885
41757
41884
41756
41418
41410
41414
41422
41420
42269
41245
42268
41244
42332
41308
42333
41419
41411
41423
41415
41309
41421
49474
50506
49482
51476
51605
51604
50581
50580
49557
49556
49475
50507
49483
49486
49478
49484
49428
57666
58698
57674
57796
57678
57676
57670
57668
59796
59668
57748
57620
59797
59669
57749
57797
57667
58699
57675
57679
57671
57621
57677
57669
35604
35733
35732
34580
33556
34709
33685
34708
33684
35092
35221
35220
34068
33044
34197
34196
33173
33172
34122
33098
34114
33090
33221
33220
34123
34115
34126
34118
34124
34116
33099
33091
33102
33094
33100
33092
43925
43797
41877
41749
43924
43796
41876
41748
42314
42306
41290
41282
41412
42318
42316
42310
42308
41294
41292
41286
41284
43413
44309
43285
41365
42261
41237
43412
44308
43284
41364
42260
41236
41428
42324
41300
41429
41413
42315
42307
42319
42311
42325
42317
42309
41291
41283
41295
41287
41301
41293
41285
58713
57689
57801
58649
57741
57735
57743
59783
57739
57731
57625
57737
58712
57688
57800
58648
57730
59782
57734
57624
57742
57740
57738
57736
50521
50520
49497
49496
51590
50566
49542
49538
52610
50562
49548 50572
50567
49543
51591
49550 50574
49432 50568
52618
50570
49546
49539
52611
50563
42329
41305
41417
42328
41304
41416
42265
41347
41241
41865
41357
41869
43399
41863
41351
42264
41378 41858
43398
41862
41350
41272 41784
41868
41356
41384 41386 41864
34137
34136
33113
33112
35206
34694
33670
34182
33158
33186 33666
36226
34690
34210
34178
33164 34188
35207
33676 34190 34700
34695
33671
34183
33159
33155
36227
34691
34179
33080 33194 33672 34104 34184 34186 34216 34218 34616 34696
50505
49481
50504
49480
51589
51588
50565
49541
50564
49540
49414
49422
51462
49420
51460
49412
49410
50442
49418
49416
49408 50560 50561
58697
57673
59781
57733
58696
57672
59780
57732
57607
57615
59655
57613
59653
57605
57603
58635
57611
58633
57609
57617
57793
57665
57729
57601
57616
57614
57612
59654
57606
59652
57604
58634
57610
58632
57608
57792
57664
57728
57602
57600
34121
33097
34120
33096
35717
35716
34693
33669
34692
33668
35205
35204
34181
34180
33157
33156
34113
33089
34112
33088
34600
33576
34090
34088
33066
33064
33036
35076
34052
33028
33548
35078
34564
33540
34054
33030
33544
33056 33058 33536 34080 34082 34176 34177 34208 34688 34689
42313
41289
42312
41288
43909
41861
43397
41349
43908
41860
43396
41348
42321
42305
41297
41409
41281
42320
42304
41296
41408
41280
42251
42243
42249
42257
42241
42247
42255
44295
42253
44293
42245
41737
41233
41345
41729
41229
43269
41221
41741
43271
41733
41223
41768
41258
41256
42256
42250
42248
42242
42240
42254
42252
44294
42246
44292
42244
41264 41744
41736
41376 41856
41248 41250 41728
41740
41228
43268
41220
43270
41732
41222
32510
32460
32478
32476
32502
32470
32454
32468
32452
32506
32474
32458
32472
32456
32498
32466
32450
32464
32448
28414
28364
28382
28380
28406
28374
28358
28372
28356
28410
28378
28362
28376
28360
28402
28370
28354
28368
28352
28670
28620
28638
28636
28662
28630
28614
28628
28612
28666
28634
28618
28632
28616
28658
28626
28610
28624
28608
32762
32712
32730
32714
32754
32704
32722
32706
32758
32708
32726
32710
32766
32735
32727
32731
32723
28639
28631
28635
28627
32479
32471
32475
32467
28383
28375
28379
28371
32734
32713
32705
32709
32716
32711
32715
32707
28633
28617
28625
28609
28629
28613
28619
28611
28637
28621
28615
32473
32457
32465
32449
32469
32453
32459
32451
32477
32461
32455
28377
28361
28369
28353
28373
28357
28363
28355
28381
28365
28359
31486
31436
31454
31452
31478
31446
31444
31430
31428
32382
32380
32364
31358
31356
31340
32374
32332
32324
32350
32342
32348
32340
31350
31308
31300
31326
31318
31324
31316
24318
24316
24302
24300
23294
23292
23278
23276
24310
24308
24294
24292
23286
23284
23270
23268
24190
24188
24174
24172
23166
23164
23150
23148
24182
24180
24166
24164
23158
23156
23142
23140
24314
24298
24312
24296
23290
23274
23288
23272
24306
24290
24304
24288
23282
23266
23280
23264
24186
24170
24184
24168
23162
23146
23160
23144
24178
24162
24176
24160
23154
23138
23152
23136
31482
31450
31434
31448
31432
31474
31442
31426
31440
31424
32378
32362
32376
32360
31354
31338
31352
31336
32370
32346
32338
32330
32322
32344
32336
32328
32320
31346
31322
31314
31306
31298
31320
31312
31304
31296
27390
27340
27358
27356
27382
27350
27348
27334
27332
28286
28284
28268
27262
27260
27244
28278
28236
28228
28254
28246
28252
28244
27254
27212
27204
27230
27222
27228
27220
20222
20172
24270
24268
24286
24284
20190
20188
19198
19148
23246
23244
23262
23260
19166
19164
20214
24278
24276
20182
20180
24262
24260
20166
20164
19190
23254
23252
19158
19156
23238
23236
19142
19140
20094
20092
20076
19070
19068
19052
20086
20044
20036
24142
24140
24134
24132
24158
24156
24150
24148
20062
20060
20054
20052
19062
19020
19012
23118
23116
23110
23108
23134
23132
23126
23124
19038
19036
19030
19028
27386
27354
27338
27352
27336
27378
27346
27330
27344
27328
28282
28266
28280
28264
27258
27242
27256
27240
28274
28250
28242
28234
28226
28248
